,brand,jenis
1625,DETAFOS 200 EC,Insektisida
1626,Sunpore 210 EC,Insektisida
1627,MONOSULTAP 95 TC,Insektisida
1628,PARAXONE 276 SL*,Herbisida
1629,PROMECTIN 60 EC,Insektisida
1630,WIN 20 WG ,Herbisida
1631,TIGA RODA 0.3 MC,Pestisida Rumah Tangga
1632,NARASTAR 330 SC,Fungisida
1633,CELCRON 500 EC,Insektisida
1634,FORESTER 550/20EC,Insektisida
1635,KEMIHOLZPLY CTF-2M 380 OC,Insektisida
1636,ALDOZER 25/100 OD,Herbisida
1637,PRALLE 50 TK,Insektisida
1638,SALERON UP 380/5 SL,Herbisida
1639,DINAMEC 10 WG,Insektisida
1640,AMINAX 865 SL ,Herbisida
1641,AMEZO 18 EC ,Insektisida
1642,PIRAZOSULFURON 97 TC,Herbisida
1643,ALAMO 350 SC,Insektisida
1644,UPPERQUAT 276 SL*,Herbisida
1645,TURBO 500 SC,Insektisida
1646,WARSHIP 500 EC,Insektisida
1647,MITSUFURON 20 WG,Herbisida
1648,REGENT 0.3 GR,Insektisida
1649,HINOW 500 SL,Insektisida
1650,EKSAMIN 865 SL,Herbisida
1651,MITRANS 45 WP,Moluskisida
1652,HIT 0.32 AE,Pestisida Rumah Tangga
1653,KAMIKAZE 371 EC,Fungisida
1654,GOREX 500 EC,Insektisida
1655,PORSELEN 5 SG ,Insektisida
1656,APROPO 200 SE,Fungisida
1657,DIURON 96 TC  ,Herbisida
1658,TEBBAS 605 EC,Insektisida
1659,HIMAQUAT 280 SL*,Herbisida
1660,SANTREL 500 SL ,Zat Pengatur Tumbuh Tanaman
1661,SAWARNA 18 EC,Insektisida
1662,SANCIS 25 EC,Insektisida
1663,IPA GLYPHOSATE 62 TC,Herbisida
1664,MANCOZEB 85 TC,Fungisida
1665,JOSSXONE 135 SL,Herbisida
1666,DKMEKTIN 18 EC,Insektisida
1667,RAJATRIN 250 EC,Insektisida
1668,MERKURY 75 WP,Fungisida
1669,DOMINIX 60/10 WG,Insektisida
1670,INDOSUPER 106/141 ZC,Insektisida
1671,MEGATROL 240 SL,Herbisida
1672,COFENRIN PLUS 250/50 SC,Insektisida
1673,Proxel GXL,Pestisida lain-lain
1674,DOUBLE POTENCE 100/100 SC,Insektisida
1675,FURANO 3 GR,Insektisida
1676,VAPE 0.5 RB,Pestisida Rumah Tangga
1677,FURAXIN 10 SL,Fungisida
1678,VITANON 10 WP,Insektisida
1679,FASTDONE 20/4/2 OD,Herbisida
1680,BENTAN 45 WP,Moluskisida
1681,SUTRIN 100 EC,Bahan pengawet kayu
1682,BM KNEX 288 EC,Herbisida
1683,SANCORD 50 EC,Insektisida
1684,STEMBOR 0.5 GR,Insektisida
1685,IVORY 68 WP,Herbisida
1686,ET-RAIZE 77 WP,Fungisida
1687,TRIDIUM 70 WG,Fungisida
1688,ZESSNOIT 60 WP,Moluskisida
1689,HIT 15 AE,Pestisida Rumah Tangga
1690,CENTAZOLE 250 EC,Fungisida
1691,NEWTEX 10 PA,Zat Pengatur Tumbuh Tanaman
1692,PARAKUAT DIKLORIDA 42 TC,Herbisida
1693,GOSONGTOP 276 SL*,Herbisida
1694,ADOCA 150 SC,Insektisida
1695,BUFOS 150 SL,Herbisida
1696,SKYSTAR 280 SC ,Fungisida
1697,TOPSIDA 75 WP,Fungisida
1698,Pajero 230 EC,Insektisida
1699,TRACKER 480 EC,Herbisida
1700,PARASOL 500 SL,Insektisida
1701,ESTRAGO 250 SC,Fungisida
1702,COLOSSAL 250 SC ,Zat Pengatur Tumbuh Tanaman
1703,VOLCANO 50 WG,Insektisida
1704,P-GLUFOSINAT 90 TC,Herbisida
1705,MICROTHIOL 80 WG,Fungisida
1706,AGATA 1 G,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1707,RACUMIN 0.75 TP,Rodentisida
1708,VECTRON 100 EW,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1709,MAHER 80 WP,Fungisida
1710,SACO-P,Fungisida
1711,DORMEX 520 SL ,Zat Pengatur Tumbuh Tanaman
1712,BESTCRON 500 EC,Insektisida
1713,Heksagon 50 EC,Insektisida
1714,Baygon 13 LV,Pestisida Rumah Tangga
1715,KLORFENAPIR 96 TC,Insektisida
1716,PROFENOFOS 90 TC,Insektisida
1717,VAPE PLUS 0.6 AE,Pestisida Rumah Tangga
1718,Mortein 0.2 AE,Pestisida Rumah Tangga
1719,TRIESTER 480 EC,Herbisida
1720,PGTPLUS 15/385 SE,Herbisida
1721,"BTONIK 19,5 SL ",Zat Pengatur Tumbuh Tanaman
1722,SUMIALPHA 25 EC,Insektisida
1723,PROMIDA 55 WP,Insektisida
1724,SOLITAIRE 200 SL,Herbisida
1725,EASY 50 SP ,Insektisida
1726,METEOR 25 EC,Insektisida
1727,BIONIL 75 WP,Fungisida
1728,IMIDAKLOPRID 97 TC,Insektisida
1729,SATURN-D 600 EC,Herbisida
1730,PETIR 480 SL ,Herbisida
1731,BIONIK 400 EC,Insektisida
1732,INTERCEPTOR 200 K,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1733,BURON 80 WP,Herbisida
1734,BASMITOP 480 SL,Herbisida
1735,Glufosinate-ammonium 95% TC,Herbisida
1736,TIKAM 50 EC,Insektisida
1737,RICE PRO 10/10 WP,Herbisida
1738,DIMPO 400 SL,Insektisida
1739, DAKAR 125/125 SC,Fungisida
1740,FOX 500 EC,Herbisida
1741,SARADOR 30 WP ,Insektisida
1742,BROFREYA 53 SC,Insektisida
1743,ZIBO 200 SL,Herbisida
1744,VONDOZEB 80 WP,Fungisida
1745,THIOSIDA 6 GR,Herbisida
1746,GG 8.5 SL,Zat Pengatur Tumbuh Tanaman
1747,DOMORE 30/250 EC,Insektisida
1748,PROWL 330 EC,Herbisida
1749,Solignum All Around Clear 2 ME,Bahan pengawet kayu
1750,KAYARIS 500/55 SC,Herbisida
1751,HIT 10.8 LV,Pestisida Rumah Tangga
1752,BATARA 135 SL,Herbisida
1753,MASTEROLE 240 SC,Insektisida
1754,HERBAGON 300/100 SL,Herbisida
1755,PERMIFOS 555 EC,Insektisida
1756,BINKILL 0.78 VP,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1757,Nomin Extra 200 SC,Herbisida
1758,PUDDAKO 210 SL,Herbisida
1759,ATRANEX 90 WG,Herbisida
1760,FOLICUR 430 SC,Fungisida
1761,"Byagon 0,575 AE WB ",Pestisida Rumah Tangga
1762,LACONIC 500 EC,Insektisida
1763,PHOSCORMITE 18 EC,Insektisida
1764,TRIADIMENOL 96 TC,Fungisida
1765,PYRINEX-C 550 EC,Insektisida
1766,AMMATE 30 WG,Insektisida
1767,Vertibak 50 WP,Fungisida
1768,VALANI 200 EC,Insektisida
1769,SAGR-PURE 400/200 EC,Insektisida
1770,RAJAXONE PLUS 303 SL,Herbisida
1771,COOLER 1.5/4.5 GR,Moluskisida
1772,STOPMAT 220 EC,Insektisida
1773,ZYROXFLY 0.5 RB,Pestisida Rumah Tangga
1774,CHEETAH 490 SL,Zat Pengatur Tumbuh Tanaman
1775,EQUATION PRO 52 WG,Fungisida
1776,LATREX 400 EC,Bahan pengawet kayu
1777,PILAR UP 480 SL,Herbisida
1778,BINATOP 525 SL,Herbisida
1779,ZIBAZ 400 EC,Insektisida
1780,KENDIURON 525 SC,Herbisida
1781,BENTAGRAM (60/400 SL),Herbisida
1782,"TIGARODA 0,25 MC",Pestisida Rumah Tangga
1783,ALCHER 100 EC,Herbisida
1784,COWBOY 480 EC,Herbisida
1785,KLENSECT EXTRA 200 EC,Insektisida
1786,SAPU BERSIH 530 SL,Herbisida
1787,TARUNG 25 EC,Insektisida
1788,ZIFLO 90 WP,Fungisida
1789,AMBLASH 510 SL,Herbisida
1790,INVINSI 70 WG,Insektisida
1791,KILLMATE 50 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1792,CENTARON 80 WP,Herbisida
1793,ROLIXONE 276 SL*,Herbisida
1794,SIPERMETRIN 92 TC  ,Insektisida
1795,MARTYL 480 SL,Herbisida
1796,STARCOZEB 80 WP,Fungisida
1797,INNOMAN ® CMF,Bakterisida
1798,SIDA UP 490 SL,Herbisida
1799,VORTEX 540 SL,Herbisida
1800,IMIDATOP PLUS 200 SL,Insektisida
1801,REVUS 250 SC  ,Fungisida
1802,RAZOR 240 SL,Herbisida
1803,BM METRON 20 WG,Herbisida
1804,FLYTOX 1 P,Insektisida
1805,LARBAN 500/50 EC,Insektisida
1806,MAHAKAM COKRO 30 EC,Insektisida
1807,PENTACRON 500 EC,Insektisida
1808,SAMIDA 15 WP,Insektisida
1809,DEVON 300 EC,Fungisida
1810,PRIMAZOL 250 EC,Fungisida
1811,VALLO 525 SC,Fungisida
1812,CAMACRON 500 EC,Insektisida
1813,CONASOL 50 SC ,Fungisida
1814,MEURTIEUR 30 EC,Insektisida
1815,HADES 123 SL,Insektisida
1816,HEXACONAZOLE 95 TC,Fungisida
1817,CENTABAT 60 WP,Fungisida
1818,TAMBISTAN SNAIL 50 WP,Moluskisida
1819,CURZATE 8/64 WP,Fungisida
1820,TEBBAS 605 EC,Insektisida
1821,TRICLOPYR-BUTOTYL ESTER 95 TC ,Herbisida
1822,ROLLUP 480 SL,Herbisida
1823,MORGENT 50 SC,Insektisida
1824,BIOPHON 10 PA,Zat Pengatur Tumbuh Tanaman
1825,NUFOSAT 480 SL,Herbisida
1826,ADDIT 40 WG,Herbisida
1827,SINANIL 80 WP,Fungisida
1828,WYNCAMAX 660 SL,Herbisida
1829,MAHAKAM KOPIJOSS 250 SL,Herbisida
1830,Dimethomorph 90 TC,Pestisida lain-lain
1831,GREATUP 480 SL,Herbisida
1832,RICE PRO 10/10 WP,Herbisida
1833,SUMITHION 500 EC,Insektisida
1834,VAPE 4.1 MV,Pestisida Rumah Tangga
1835,ROUNDUP POWERMAX 660 SL,Herbisida
1836,PIRIBAC 400 SC,Herbisida
1837,INDOFAN 550/50 EC,Insektisida
1838,E-TRICYPLUS 20 WP,Fungisida
1839,HIT EXPERT 0.10 FU,Pestisida Rumah Tangga
1840,ABADUR 520 EC,Insektisida
1841,CYPERMAX 100 EC,Insektisida
1842,batoksi 4/20 WP,Insektisida
1843,CELTA 50 EC,Insektisida
1844,RYNOD 75 WP,Fungisida
1845,Cypermethrin 94% TC,Insektisida
1846,RAPRAP 100 EC,Bahan pengawet kayu
1847,ENKASUL 150 SL,Herbisida
1848,SUMIMAX 50 WP,Herbisida
1849,Fluroxypyr-meptyl 97 TC,Herbisida
1850,TOKINDO 180/120 SC,Insektisida
1851,CRASH 480 SL   ,Herbisida
1852,E-TOZEB BLUE 80 WP,Fungisida
1853,LOVLAN 1220 UL,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1854,TEBAS 276 SL,Herbisida
1855,MAZAL 500 EC,Fungisida
1856,RIOSOL 250 EC,Fungisida
1857,HI-ZEB 80 WP,Fungisida
1858,TRIADIMEFON 95 TC,Fungisida
1859,VAPE MAGIC 0.5 FU,Insektisida
1860,FATEC 30 UL,Insektisida
1861,Z-ZIMOX 64/8 WP,Fungisida
1862,LOCK UP 480 SL,Herbisida
1863,MORTEIN 0.2 AE,Pestisida Rumah Tangga
1864,OXAMYL 10 GR,Insektisida
1865,VAYEGO QUANTUM 120 / 360 SC,Insektisida
1866,BIOVAR P,Insektisida
1867,KOMBOS 480 SL,Herbisida
1868,PROPINEB 85 TC,Fungisida
1869,P-GLUFOSINAT 90 TC,Herbisida
1870,RAGASA 500 EC,Insektisida
1871,AGROTECH 722 SL ,Fungisida
1872,SISTEMIK 240 SL,Herbisida
1873,DELTAMETHRIN 95 TC,Insektisida
1874,RAKSAMAX 80 WP,Fungisida
1875,SAPOTOP DSO 18 GR,Moluskisida
1876,TRIESTER GOLD 670 EC,Herbisida
1877,CONSERVE 500/50 EC,Insektisida
1878,CYPERMETHRIN 92 TC,Insektisida
1879,BULLFIGHT PLUS 88.8 WG,Herbisida
1880,PROGRESSOR 20 EC,Insektisida
1881,MOSPILAN 30 EC,Insektisida
1882,HIT 51.63 AL,Pestisida Rumah Tangga
1883,ELEMENT 410/100 EC,Fungisida
1884,BM ZEBCO 80 WP,Fungisida
1885,"DERASTEX 250 2,5 PA ",Zat Pengatur Tumbuh Tanaman
1886,ALDES 50/10 WG,Insektisida
1887,Plenum 50 WG,Insektisida
1888,DIPEL WG,Insektisida
1889,JUTSUMIN 865 SL,Herbisida
1890,DIPHO 400 SL,Insektisida
1891,"RACTIKUS 0,005 BB",Rodentisida
1892,D-Alletrin Endura 90 TC ,Insektisida
1893,MASCO AGRI GENETICS,Insektisida
1894,SECLIRA HOME 40 SG,Pestisida Rumah Tangga
1895,PRASSIDA 125 SC,Herbisida
1896,MIO 200 EC ,Insektisida
1897,PENALTY 50 SC,Insektisida
1898,Qiutane 80 WP,Fungisida
1899,MESTI-LARIS 240 SL,Herbisida
1900,FRONTIER P 720 EC,Herbisida
1901,INDOSA 210 OD,Insektisida
1902,TRUST 240 SL ,Herbisida
1903,RIDER 500 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1904,Sapu Jagad Oksidator Nutri,Fungisida
1905,PYRIDABEN 95 TC,Insektisida
1906,TRIMECAB 120/40 SC ,Insektisida
1907,METSUN 60 WG,Herbisida
1908,SAGRI-BAT 70 WP ,Fungisida
1909,NAPIRTOP 300/5 EC,Insektisida
1910,SAGRI - CLEAN 50/30 WP,Fungisida
1911,BENOTOP 50 WP,Fungisida
1912,GLIFOMAX 480 SL,Herbisida
1913,WISH 590 EC,Herbisida
1914,MANCOZEB 80 TK,Fungisida
1915,Dharmafur 3 GR,Insektisida
1916,OZZIECIDE 363W,Pestisida lain-lain
1917,PIAWAI 75 SP,Insektisida
1918,BATMAN 550/100 EC,Insektisida
1919,ROCHLOP 480 EC,Insektisida
1920,TOXIPUT 5 GR,Moluskisida
1921,BESQUEEN 80 SP,Insektisida
1922,BUZZZTOX 50 EC,Insektisida
1923,ROLIFOS 150 SL,Herbisida
1924,AGSTAP 50 SP,Insektisida
1925,HIT 0.597 MV,Pestisida Rumah Tangga
1926,JAGOAN 550/100 EC,Insektisida
1927,IPA GLIFOSATE 95 TC,Herbisida
1928,TRIKLOPIR BUTOTIL 99 TC,Herbisida
1929,BELLATOR 100/165 SC,Insektisida
1930,BETADOR 10 WP,Insektisida
1931,AMCOXONE 276 SL*,Herbisida
1932,CYPERMETHRIN 92 TC,Insektisida
1933,NEMASOL 370 SL,Nematisida
1934,FONETTE 100 PA,Zat Pengatur Tumbuh Tanaman
1935,RAINGRAN 460 SL,Herbisida
1936,GASING 135 SL,Herbisida
1937,"KINGKONG 4,5 MV",Pestisida Rumah Tangga
1938,EXCEED 80 WP,Fungisida
1939,LAVENDA 125 SL,Pestisida Rumah Tangga
1940,PHENTHOATE 90 TC  ,Insektisida
1941,COSTRA 250 SC,Zat Pengatur Tumbuh Tanaman
1942,SHENPHOS 56 PL*,Fumigan
1943,VALINO 865 SL,Herbisida
1944,NITEN 100 SL,Insektisida
1945,KYUUBI 865 SL,Herbisida
1946,SEVILA 400/125 SE,Fungisida
1947,RINGO 200 SC,Fungisida
1948,Indar 240 SC,Fungisida
1949,SNAILTOX 12 GR,Moluskisida
1950,FUMIFUR 99 LG*,Fumigan
1951,STARPAX 500 SC,Herbisida
1952,RAJAPLUS 50 EC ,Insektisida
1953,ONE PUSH VAPE 9.4 AE,Pestisida Rumah Tangga
1954,PREVATHON PRO 200 SC,Insektisida
1955,NOMOS 0.041MC,Pestisida Rumah Tangga
1956,NIKKO 45/235 OD,Herbisida
1957,BM GLYMORE 33 SP,Herbisida
1958,SPA 160 SL,Herbisida
1959,COMPRO 600 EC,Herbisida
1960,SELEKTIF PADI 400/150 SC,Herbisida
1961,PREVATHON 50 SC,Insektisida
1962,TRIDARIS 500/50 SC,Herbisida
1963,DHARMACLEN 25 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
1964,HIT 0.405 AE,Pestisida Rumah Tangga
1965,RUSO 485 SL,Herbisida
1966,PRIMA-NET 40 WP,Insektisida
1967,VIOLIN 80 WP,Fungisida
1968,HARRAS 480 SL,Herbisida
1969,Foison-Plus 100 SL,Herbisida
1970,TOPREL 480 SL,Zat Pengatur Tumbuh Tanaman
1971,REJOSO 400 SC,Insektisida
1972,ACTICIDE SPX,Fungisida
1973,METAFURON 20 WP,Herbisida
1974,ABOJO 60 WP,Moluskisida
1975,VOLNEY 80 WG,Fungisida
1976,CYPERMETHRIN 93 TC,Insektisida
1977,HIT ONE PUSH 3 AE,Pestisida Rumah Tangga
1978,FURY 100 EC,Insektisida
1979,AGROTHANE 80 WP,Fungisida
1980,CLINTEN 250 EC,Fungisida
1981,MANTAPXONE 135 SL*,Herbisida
1982,Proxel BZ,Bakterisida
1983,BAKODA 25 EC,Insektisida
1984,BM HAMATI 25 WG,Insektisida
1985,INLOV 40 SP,Insektisida
1986,PRINCIPAL 490 SL,Herbisida
1987,SUGARINA PLUS 80 WG ,Herbisida
1988,"DKBOSTROBIN 32,7 WG",Fungisida
1989,VITTO 18 SL,Zat Pengatur Tumbuh Tanaman
1990,KOPIJOSS 250 SL,Herbisida
1991,SANTAQUAT 276 SL *,Herbisida
1992,Fipronil 87 TK,Insektisida
1993,DIAMOND WALET 100 EC,Pestisida Rumah Tangga
1994,DESMOS 200/60 SC,Herbisida
1995,REXATRIN 500 SC,Herbisida
1996,SANTOAT 400 EC,Insektisida
1997,BACTIVEC BJ SL,Insektisida
1998,DESKOR 95 WP,Zat Pengatur Tumbuh Tanaman
1999,BOM-UP 520 SL,Herbisida
2000,IIOTO 70 WP ,Fungisida
2001,FIPRONIL 96 TC,Insektisida
2002,NARASTAR 330 SC,Fungisida
2003,MORTEIN TIGARODA 0.005 MC ,Pestisida Rumah Tangga
2004,MUNJUL 80 SL,Insektisida
2005,MARADONA 490 SL,Herbisida
2006,ONE-UP 480 SL,Herbisida
2007,SARINEB 80 WP,Fungisida
2008,TESTING GET JANUARI,Fungisida
2009,EMPEROR 475 SC,Fungisida
2010,BRODIN 18/12 WP,Insektisida
2011,VENOS 500 EC,Insektisida
2012,OBR 25 WP,Insektisida
2013,VELOCE 160/220 SC,Insektisida
2014,GAVIN 35 WP,Insektisida
2015,PARAKUAT DIKLORIDA 42 TC,Herbisida
2016,HIT ONE PUSH 6.365 AE,Pestisida Rumah Tangga
2017,RALANG 480 SL,Herbisida
2018,INDODINE 6 GR,Insektisida
2019,TOPKUAT 290 SL*,Herbisida
2020,MYLTOP 40 SP,Insektisida
2021,AGITA 10 WG,Insektisida
2022,STARMEK 18 EC,Insektisida
2023,Innosei ® CPC,Bakterisida
2024,BENSON 10 WP,Herbisida
2025,EXTRATIN 200 EC,Insektisida
2026,FOPSHOOT 120/30 OD,Herbisida
2027,WIPER 50 EC,Insektisida
2028,TOPZEB 80 WP,Fungisida
2029,PARA SPECIAL 250 SL*,Herbisida
2030,PYRIDABEN 95 TC,Insektisida
2031,BM GULMATI 80 WP,Herbisida
2032,SPIRO M-45 80 WP,Fungisida
2033,ROSHO 28 WP,Herbisida
2034,PRIMERO 75 WG,Herbisida
2035,JAYAMIX 30/6 WP,Insektisida
2036,TRICLOPYR 95 TC,Herbisida
2037,VAPE Mosquito Coil Mc MC,Pestisida Rumah Tangga
2038,BIOTRIFOS 250 EC,Insektisida
2039,Amnesti 40 EC,Insektisida
2040,PRELUDE 170 SL,Herbisida
2041,TRISAGRA 30 EC,Insektisida
2042,OORJA 500 HN,Zat Pengatur Tumbuh Tanaman
2043,TOPZONE 276 SL,Herbisida
2044,DIMETOMORPH 96 TC,Fungisida
2045,SIDASTAR 300/100 SL,Herbisida
2046,BM E-FAS 150 SL,Herbisida
2047,SCHNELL 50 WP,Fungisida
2048,PRIMA-LIMA 555 SL,Herbisida
2049,ALFART 25 WP,Fungisida
2050,PROMOMIN 865 SL,Herbisida
2051,GOLMA 240 EC,Herbisida
2052,SELEDOL 450 EC,Insektisida
2053,FENDONA 250 SC,Insektisida
2054,VAPE 0.34 AE,Pestisida Rumah Tangga
2055,DANASAT 240 SL,Herbisida
2056,TUFOMIN 865 SL ,Herbisida
2057,Barrier Gold 6 GR,Insektisida
2058,DIVENO 250 EC,Fungisida
2059,PARADIGM 276 SL,Herbisida
2060,PRIMA UP 480 SL,Herbisida
2061,INTERFAST 200/100 SC,Fungisida
2062,ALLOUT 865 SL,Herbisida
2063,RAPTOR 100 PA,Zat Pengatur Tumbuh Tanaman
2064,GLYPHOSATE 95 TC,Herbisida
2065,CARBOFURAN 98 TC,Insektisida
2066,IPA GLIFOSAT 62 TK,Herbisida
2067,FILOTAB 200 SC,Bakterisida
2068,KOGETA 400 SC,Herbisida
2069,"2,4-D 98 TC",Herbisida
2070,LAMTOMIL 40 WP,Insektisida
2071,DKFenrat 200 EC,Insektisida
2072,DUIT 18 EC,Insektisida
2073,AMINAX 865 SL,Herbisida
2074,PILARQUAT 135/2 SL*,Herbisida
2075,TANICORD 50 EC,Insektisida
2076,BENTOP 276 SL,Herbisida
2077,SANVIN 88 SP,Insektisida
2078,BESTAN 60 WP,Moluskisida
2079,PRIMA-SIP 50 EC,Insektisida
2080,"ORY LURE 0,0005 SL",Atraktan / Feromon
2081,TURMADAN 328 SL,Herbisida
2082,BELARIS 50/500 SC,Herbisida
2083,BENZA 480 SL,Herbisida
2084,BLADE 100 SC,Herbisida
2085,PRIMADINE 450 SL ,Insektisida
2086,ADOPT 250 SL,Fungisida
2087,NEOCRON 80 OL,Herbisida
2088,DEKTIN 30 WG,Insektisida
2089,BESVIDAN PLUS 550/60 EC,Insektisida
2090,AMINAX 865 SL,Herbisida
2091,RONNO 100 EC,Insektisida
2092,SAMBIFEN 25 EC,Insektisida
2093,BLAX 100 SC,Fungisida
2094,AMCOPYR 670 EC,Herbisida
2095,"NEBIJIN 0,3 DP",Fungisida
2096,ECOGARD 25 EC,Bahan pengawet kayu
2097,BIOLIA 400/125 SE,Fungisida
2098,SUMIBOXAM 100 SC,Fungisida
2099,CEPHA 100 PA,Zat Pengatur Tumbuh Tanaman
2100,PROPESOR 250 EC,Fungisida
2101,PROCLAIM 5 SG,Insektisida
2102,RESICORE 25 WP,Herbisida
2103,GLITOP 480 SL,Herbisida
2104,FLAVA 10 WP,Herbisida
2105,Gallery 403 SL,Insektisida
2106,METIL METSULFURON 90 TC,Herbisida
2107,DESBEX 300EC,Insektisida
2108,BOOSTER 250 EC,Fungisida
2109,ADENGO 315 SC,Herbisida
2110,ONE SHOT 100 SC,Herbisida
2111,ANTONG 75 SP,Insektisida
2112,VALANCE 288 EC,Herbisida
2113,GALAMIN 865 SL,Herbisida
2114,TOXAFINE 400 EC,Insektisida
2115,SANTAQUAT 276 SL *,Herbisida
2116,ROSHO 28 WP,Herbisida
2117,BATIK 536 EC,Insektisida
2118,RAGASA 500 EC,Insektisida
2119,POWERSORB 550 SL,Herbisida
2120,Galelo 200 SL,Herbisida
2121,CHLORMITE STAR 650 EC,Insektisida
2122,"BROTIK 0,005 RB",Rodentisida
2123,GLOWSTAR 410 SL,Herbisida
2124,AKKOP 250 SC,Bakterisida
2125,Kemiholzply CTF-2M 380 OC ,Insektisida
2126,TRIDASAN 600 EC,Insektisida
2127,CYRROTEX 75 SP,Insektisida
2128,Cislin 25 EC,Bahan pengawet kayu
2129,MEGASTAR 75 SP,Insektisida
2130,BEHNQUAT 276 SL,Herbisida
2131,KIA UP 500 SL,Herbisida
2132,KILL UP 480/1 SL,Herbisida
2133,SULTRICOB  93 WP,Fungisida
2134,ERKABAS 500 EC,Insektisida
2135,THUKZHEPEN 420 EC,Insektisida
2136,EDO 25 WG,Insektisida
2137,ULATE 550 SL,Insektisida
2138,CYCAT 50 EC,Insektisida
2139,RASENGAN 490 SL,Herbisida
2140,SULTRICOB  93 WP,Fungisida
2141,Buprofezin 98 TC,Insektisida
2142,ZOLETIN 138 SL*,Herbisida
2143,PEXALON 106 SC,Insektisida
2144,SAROMYL 35 SD,Fungisida
2145,TOPSINDO 70 WP,Fungisida
2146,DIMOCEL 400 SL,Insektisida
2147,DENSE PRO 520 SC,Fungisida
2148,FOLIRFOS 400 SL,Fungisida
2149,BMA 8 865 SL,Herbisida
2150,TRISAS 325 EC,Insektisida
2151,TWINKLE 80 ME,Insektisida
2152,COSTAR HP,Insektisida
2153,SCUD 50 EC,Insektisida
2154,ABA-M 18 EC,Insektisida
2155,GROWTH 250 SC,Zat Pengatur Tumbuh Tanaman
2156,RENON 50 WP,Fungisida
2157,Glifomin 300/100 SL,Herbisida
2158,CURZATE 8/64 WP,Fungisida
2159,SACO-P,Fungisida
2160,ORTRAN 75 SP,Insektisida
2161,GILAS 130 SL,Herbisida
2162,GLIFOSAT 95 TC,Herbisida
2163,AMFURON 20 WG,Herbisida
2164,AMOFO,Herbisida
2165,DIMEFLUTHRIN 93 TC,Insektisida
2166,AVJUNSU 18 EC,Insektisida
2167,ABACEL 18 EC,Insektisida
2168,VAPE 6.1 MV,Pestisida Rumah Tangga
2169,DOSSER 400 SL,Insektisida
2170,VAPE 0.1 MC,Pestisida Rumah Tangga
2171,MADI 250 SC,Fungisida
2172,PROMOTE 500 SL ,Herbisida
2173,ACTICIDE MV,Bakterisida
2174,MUTUAL 25/25 WP,Insektisida
2175,ENKOUNTER 15/24 WG,Insektisida
2176,"PROTECTSAFE 0,005 BB",Rodentisida
2177,VAPE 27 VP,Pestisida Rumah Tangga
2178,PRIMA-TOX 3/2 GR,Moluskisida
2179,QIZZA 100 EC,Herbisida
2180,"AMFIPRON 0,3 GR",Insektisida
2181,WOODPRO 50 EC,Bahan pengawet kayu
2182,KEN-UP HITECH 75 SG,Herbisida
2183,ANVIL 50 SC,Fungisida
2184,KENSELEC 500 EC,Insektisida
2185,PRIMA-PADI 700 EC,Herbisida
2186,ALFAMEX 18 EC,Insektisida
2187,BENTAN 60 WP,Moluskisida
2188,RAINFOS 550 EC,Insektisida
2189,MACERIO 52 WP,Herbisida
2190,Proxel GL20,Pestisida lain-lain
2191,BERUANG 0.5 CB,Insektisida
2192,VIKAR 10 SL,Zat Pengatur Tumbuh Tanaman
2193,BELAWAN 365 EC,Insektisida
2194,HIT  6.4 LV ,Pestisida Rumah Tangga
2195,PENTA GUN-Z 160 SL,Herbisida
2196,LANTERN 270/120 SL,Herbisida
2197,BASTNATE 200 SL,Herbisida
2198,Imidacloprid 95 TC,Insektisida
2199,PRIMA-RICE 400 SC,Herbisida
2200,ENFUSE 200 SC,Insektisida
2201,KEOX 75 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
2202,AMCOZEB 80 WP,Fungisida
2203,GLYPHOGAN 480 SL ,Herbisida
2204,TORERO 80 WP,Herbisida
2205,ASPRIL 100 SC,Insektisida
2206,TOPCYPER 100 EC,Insektisida
2207,ETEFON 86 TC,Zat Pengatur Tumbuh Tanaman
2208,Tridaris 500/50 SC,Herbisida
2209,"PARACHEM 99,5 SP",Bahan pengawet kayu
2210,ETEPHON 85 TC,Zat Pengatur Tumbuh Tanaman
2211,GILLES 550 SC,Insektisida
2212,RRIDAWEED 480 SL,Herbisida
2213,TRICYPER 325 EC,Insektisida
2214,LOGRAN 75 WG,Herbisida
2215,HELLIOPHOS 56 TB*,Fumigan
2216,RODAMEC 18 EC,Insektisida
2217,PRESTICOR 600 SC,Insektisida
2218,DOMINANT 18/32 EC,Insektisida
2219,AGRIDAN 150 EC,Pestisida lain-lain
2220,LUCERO 70 WP,Fungisida
2221,PITBULL 160 SL,Herbisida
2222,IMIDOR 50 SL,Insektisida
2223,MAXXQUAT 135 SL*,Herbisida
2224,DAIMEX 80 WP,Herbisida
2225,COKRO 30 EC,Insektisida
2226,ABOZON 250/90 EC,Herbisida
2227,PROMOPLUS 495 SL,Herbisida
